ID,Name
6746,"Ultra Gaming PC - RTX 3080 10GB - Intel i7 9700K - 24GB RAM - 1TB SSD"
6748,"Hexacore Gaming PC - Nvidia GTX 1080 Ti 11GB - Intel i5 8500 6 Core - 16GB RAM - 240GB SSD"
6750,"1080 Gaming PC - Nvidia GTX 1080 8GB - Intel i5 8500 6 Core - 16GB RAM - 240GB SSD"
6926,"Starter Gaming PC - Nvidia GTX 960 2GB - Intel i3 4170 - 8GB RAM - Bronze PSU"
7128,"Racing Sim Gaming PC - Nvidia GTX 1050 Ti 4GB - Intel i7 4770 - 12GB RAM"
7180,"GeForce Gaming PC - Nvidia GTX 1070 8GB - Intel i5 6500 Quad Core - 12GB DDR4"
7189,"Entry Level Gaming PC - Nvidia GTX 750-Ti 2GB - Intel i3 4170 - 8GB RAM - Bronze PSU"
7558,"DDR4 Gaming PC - Nvidia GTX 970 4GB - Intel i5 6500 Quad Core- 12GB 2400MHz RAM"
7815,"PowerSave Gaming PC - AMD RX 470 8GB - Intel i3 6100 - 12GB DDR4 - Bronze PSU"
7820,"Redline Gaming PC - RTX 3090 24GB - Intel i9 9900K - 32GB RAM - 1TB SSD - 850W PSU"
8175,"Ray Tracing Gaming PC - Nvidia RTX 3060 Ti 8GB - Intel i7 8700 - 16GB DDR4 RAM - 240GB SSD"
8239,"HP 280 G4 SFF Business PC – i5 8th Gen Quad Core, 16GB DDR4 RAM"
8244,"Ray Tracing Gaming PC - Nvidia RTX 3070 8GB - Intel i7 8700 6 Core - 16GB RAM - 500GB SSD"
8443,"970 Gaming PC - Nvidia GTX 970 4GB - Intel i5 4590 Quad Core - 12GB RAM"
8444,"GeForce Gaming PC - Nvidia GTX 1070 8GB - Intel i5 7500 Quad Core - 16GB DDR4"
8449,"HP Gaming PC - Nvidia GTX 1050 Ti 4GB - Intel i5 4590 Quad Core - 8GB RAM"
8516,"Dell Optiplex 3060 USFF – i5 8500, 16GB RAM, 240GB SSD, Windows, Wi-Fi"
8523,"HP Prodesk 400 G4 SFF – i5 6th Gen, 8GB RAM, 120GB SSD / 500GB HDD, Wi-Fi, Windows"
8524,"HP Elitedesk 800 G5 USFF – i5 8500, 16GB RAM, 240GB SSD, Windows, Wi-Fi"
8528,"i7 Gaming PC - Nvidia GTX 1060 6GB - Intel i7 4770 - 12GB RAM"
8888,"DDR4 i7 Gaming PC - Nvidia GTX 1050 Ti 4GB - Intel i7 6700 - 16GB DDR4 RAM"
9627,"RX Gaming PC - AMD RX 580 8GB - Intel i5 7500 Quad Core - 12GB RAM - 240GB SSD"
9638,"DDR4 i5 Gaming PC - Nvidia GTX 1050 Ti 4GB - Intel i5 6500 Quad Core - 16GB RAM"
10365,"i7 Gaming PC - Nvidia GTX 1060 6GB - Intel i7 6700 - 16GB DDR4 RAM"
10366,"Starter Gaming PC - Nvidia GTX 960 2GB - Intel i5 4590 Quad Core - 8GB RAM"
10367,"Entry Level Gaming PC - Nvidia GTX 750-Ti 2GB - Intel i5 4590 Quad Core - 8GB RAM"
13260,"Legion Gaming PC - Nvidia RTX 2070 Super 8GB - Intel i5 8500 6 Core - 16GB RAM - 512GB M.2"
